Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Ministry of Defence,07/03/2012,Administration,Land Forces,CANON (UK) LIMITED,RH2 8BF,5000073716,General administration,"2,313.55"
Ministry of Defence,British Defence Staff -United States,07/03/2012,Medical treatment & stores and welfare services,Defence Equipment & Support,MERITAIN HEALTH,,301102,Medical-non hospital treatment,"2,307.47"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,918213,Consumption of medical dental and veterinary inventory,"2,302.45"
Ministry of Defence,Ministry of Defence,13/03/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,913151,Cost of other material consumed,"2,298.12"
Ministry of Defence,Ministry of Defence,06/03/2012,Food and clothing,Land Forces,RANDSTAD DEUTSCHLAND GMBH,,5000073629,Cost of food purchases,"2,293.24"
Ministry of Defence,Ministry of Defence,23/03/2012,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,918157,Cost of purchasing and repairing clothing,"2,291.40"
Ministry of Defence,Ministry of Defence,26/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,OLDBURY ENGINEERING CO LIMITED,RH6 9HT,918626,Equipment support non-project costs,"2,291.11"
Ministry of Defence,Ministry of Defence,29/03/2012,Externally delivered education and training,Air Command,NATIONAL POLICING IMPROVEMENT  AGENCY,RG27 0JW,920480,External military training ,"2,282.00"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,917580,Cost of other material consumed,"2,279.81"
Ministry of Defence,Ministry of Defence,01/03/2012,Fees for professional services,Command Joint Operations,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Fees for professional services excluding legal fees,"2,271.95"
Ministry of Defence,Ministry of Defence,02/03/2012,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,908253,Equipment support non-project costs,"2,271.80"
Ministry of Defence,Ministry of Defence,05/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013553,Military short term detached duty,"2,270.96"
Ministry of Defence,Ministry of Defence,27/03/2012,"Transportation of personnel, freight and travel expenses",Navy Command,DSV AIR & SEA LIMITED,M22 4NY,918995,Freight movement costs,"2,267.00"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,918811,Cost of other material consumed,"2,266.63"
Ministry of Defence,Ministry of Defence,09/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,911682,Freight movement costs,"2,264.12"
Ministry of Defence,Ministry of Defence,14/03/2012,"Transportation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,CRONOS CONTAINERS LTD,SL7 3AB,913304,Freight movement costs,"2,252.58"
Ministry of Defence,Ministry of Defence,23/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,917561,Equipment support non-project costs,"2,251.59"
Ministry of Defence,Ministry of Defence,22/03/2012,Spend on Inventory - General,Defence Equipment & Support,BUNZL UK LIMITED,KT19 8TY,917010,Spend on Inventory - General,"2,249.65"
Ministry of Defence,Ministry of Defence,05/03/2012,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,908786,Transport other operating lease,"2,249.10"
Ministry of Defence,Ministry of Defence,29/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,920625,Equipment support non-project costs,"2,245.41"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,912072,Cost of other material consumed,"2,244.68"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,915821,Cost of other material consumed,"2,231.21"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,910368,Equipment support non-project costs,"2,220.70"
Ministry of Defence,Ministry of Defence,23/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,918017,Equipment support non-project costs,"2,220.48"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,C F ANDERSON & SON LIMITED,C06 1HD,918310,Consumption of general inventory,"2,215.74"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,917141,Utilities consumed - heating oil,"2,212.88"
Ministry of Defence,Ministry of Defence,12/03/2012,Transport hire charges,Land Forces,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,912537,Transport other hire charge,"2,210.77"
Ministry of Defence,Ministry of Defence,01/03/2012,Fees for professional services,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"2,207.54"
Ministry of Defence,Ministry of Defence,30/03/2012,Transport hire charges,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,920930,Transport other hire charge,"2,205.00"
Ministry of Defence,Ministry of Defence,01/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,907774,Fees for professional services excluding legal fees,"2,203.20"
Ministry of Defence,Ministry of Defence,20/03/2012,Rent and rates,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013697,Rent buildings - non civil estate property and married quarter property,"2,202.06"
Ministry of Defence,Ministry of Defence,08/03/2012,Spend on Inventory - General,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,910994,Spend on Inventory - General,"2,197.25"
Ministry of Defence,Ministry of Defence,26/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013751,Movement of service personnel,"2,181.05"
Ministry of Defence,Ministry of Defence,06/03/2012,"Transportation of personnel, freight and travel expenses",Navy Command,CHARLES GEE & CO. LIMITED,EC4V 5JT,909348,Freight movement costs,"2,177.03"
Ministry of Defence,Ministry of Defence,01/03/2012,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,LS25 2DY,908160,Cost of purchasing and repairing clothing,"2,160.87"
Ministry of Defence,Ministry of Defence,16/03/2012,Design services and minor equipment purchases,Land Forces,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,SN14 0TW,914491,Equipment support project costs,"2,153.00"
Ministry of Defence,Ministry of Defence,07/03/2012,IT and communication services,Land Forces,PETARDS JOYCE-LOEBL LIMITED,NE11 0TU,910723,Telephone minor equipment below capitalisation threshold,"2,150.16"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,912080,Consumption of medical dental and veterinary inventory,"2,143.67"
Ministry of Defence,Ministry of Defence,07/03/2012,"Transportation of personnel, freight and travel expenses",Air Command,DSV AIR & SEA LIMITED,M22 4NY,910489,Freight movement costs,"2,143.27"
Ministry of Defence,Ministry of Defence,14/03/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,913156,Consumption of medical dental and veterinary inventory,"2,140.89"
Ministry of Defence,Ministry of Defence,13/03/2012,Fees for professional services,Air Command,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,912878,Fees for professional services excluding legal fees,"2,137.29"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Defence Infrastructure Organisation ,WATSON PETROLEUM LTD,SN15 5DN,916899,Utilities consumed - heating oil,"2,131.28"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Central TLB,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,918280,Cost of other material consumed,"2,128.45"
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Central TLB,SERCO LIMITED,RG27 9UY,921606,Works - estate management,"2,101.44"
Ministry of Defence,Ministry of Defence,26/03/2012,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,918264,Equipment support non-project costs,"2,100.40"
Ministry of Defence,Ministry of Defence,20/03/2012,Design services and minor equipment purchases,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013697,Equipment support non-project costs,"2,100.26"
Ministry of Defence,Ministry of Defence,02/03/2012,Purchase of inventory and services ,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,908314,Cost of other material consumed,"2,096.01"
Ministry of Defence,Ministry of Defence,27/03/2012,Spend on Inventory - General,Defence Equipment & Support,GE AVIATION SYSTEMS LIMITED,GL52 8SF,919037,Spend on Inventory - General,"2,087.40"
Ministry of Defence,Ministry of Defence,30/03/2012,Spend on Inventory - General,Defence Equipment & Support,SAAB AB (PUBL),,2135481,Spend on Inventory - General,"2,079.30"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Land Forces,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,912218,Cost of other material consumed,"2,078.96"
Ministry of Defence,Ministry of Defence,06/03/2012,Estate management,Navy Command,SODEXO LTD,M50 0AL,909660,Estate + facilities management services - accommodation inventory + service,"2,077.96"
Ministry of Defence,Ministry of Defence,12/03/2012,Externally delivered education and training,Defence Equipment & Support,UNIVERSITY OF LINCOLN,LN6 7TS,167421,External military training ,"2,067.68"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,RH1 1RX,916191,Utilities consumed - gas,"2,059.08"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,910368,Equipment support non-project costs,"2,055.52"
Ministry of Defence,Ministry of Defence,08/03/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,911536,Cost of other material consumed,"2,055.47"
Ministry of Defence,Ministry of Defence,05/03/2012,Food and clothing,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,908764,Cost of food services,"2,054.06"
Ministry of Defence,Ministry of Defence,27/03/2012,Administration,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 3LS,918877,General administration,"2,047.27"
Ministry of Defence,Ministry of Defence,12/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,BUNZL UK LIMITED,KT19 8TY,912178,Spend on Inventory - General,"2,040.79"
Ministry of Defence,Ministry of Defence,08/03/2012,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,910883,Consumption of medical dental and veterinary inventory,"2,039.37"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013725,Utilities consumed - electricity,"2,035.19"
Ministry of Defence,Ministry of Defence,26/03/2012,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,918264,Equipment support non-project costs,"2,034.53"
Ministry of Defence,Ministry of Defence,22/03/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,916913,Consumption of medical dental and veterinary inventory,"2,028.58"
Ministry of Defence,Ministry of Defence,22/03/2012,Official entertainment and hospitality,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013728,Entertainment + hospitality,"2,025.96"
Ministry of Defence,Ministry of Defence,21/03/2012,IT and communication services,Air Command,CANON (UK) LIMITED,RH2 8BF,916345,Operating lease IT and communications,"2,015.27"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of inventory and services ,Command Joint Operations,XMA LTD,NG11 7EP,915680,Cost of other material consumed,"2,012.26"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,914430,Estate + facilities management services - accommodation inventory + service,"2,008.81"
Ministry of Defence,Ministry of Defence,28/03/2012,Purchase of inventory and services ,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,919501,Cost of other material consumed,"2,004.82"
Ministry of Defence,Ministry of Defence,20/03/2012,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,916122,Estate + facilities management services - accommodation inventory + service,"2,004.33"
Ministry of Defence,Ministry of Defence,02/03/2012,Estate management,Navy Command,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,908377,Works - estate management,"2,000.00"
Ministry of Defence,Defence Support Group,09/03/2012,Indirect Agency,Business Stream 1,MPI AVIATION LTD,,10155820,,"1,997.55"
Ministry of Defence,Ministry of Defence,29/03/2012,Purchase of inventory and services ,Command Joint Operations,XMA LTD,NG11 7EP,920849,Cost of other material consumed,"1,996.83"
Ministry of Defence,Ministry of Defence,14/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013644,Movement of service personnel,"1,984.45"
Ministry of Defence,Ministry of Defence,08/03/2012,Spend on Inventory - General,Land Forces,FORBO FLOORING UK LIMITED,DE5 3NT,911097,Spend on Inventory - General,"1,970.32"
Ministry of Defence,Ministry of Defence,07/03/2012,Spend on Inventory - General,Air Command,THYSSENKRUPP AEROSPACE UK LTD,MK8 8DF,910829,Spend on Inventory - General,"1,970.30"
Ministry of Defence,Ministry of Defence,22/03/2012,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,CV2 2TX,916913,Consumption of medical dental and veterinary inventory,"1,968.67"
Ministry of Defence,Ministry of Defence,12/03/2012,Payment of utilities,Defence Infrastructure Organisation ,BRITISH GAS TRADING LIMITED,LE19 1ZY,912172,Utilities consumed - electricity,"1,938.66"
Ministry of Defence,Ministry of Defence,30/03/2012,"Transportation of personnel, freight and travel expenses",Navy Command,EUROSHELL DEUTSCHLAND GMBH,,5000075881,Movement of service personnel,"1,927.70"
Ministry of Defence,Ministry of Defence,12/03/2012,"Transportation of personnel, freight and travel expenses",Navy Command,SODEXO LTD,M50 0AL,912563,Military short term detached duty,"1,926.55"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Materials & Equipment,Operations,VWR INTERNATIONAL,,V - 9000140892 - 00130576,,"1,920.43"
Ministry of Defence,Ministry of Defence,29/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,920634,Civilian short term detached duty,"1,914.40"
