Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST MERCIA POLICE AUTHORITY,,,,5000172616,Grant Payable by Exchequer,"197,568.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WARWICKSHIRE POLICE AUTHORITY,,,,5000172617,Grant Payable by Exchequer,"87,660.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST MIDLANDS POLICE AUTHORITY,,,,5000172618,Grant Payable by Exchequer,"199,134.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST YORKSHIRE POLICE AUTHORITY,,,,5000172619,Grant Payable by Exchequer,"222,583.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER LONDON AUTHORITY,,,,5000172620,Grant Payable by Exchequer,"2,337,223.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,BRAINTREE DC,,,,5000171578,Grant Payable by Exchequer,"91,741.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,BRENT LB (HSG),,,,5000171579,Grant Payable by Exchequer,"863,126.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,LEWISHAM LB (HSG),,,,5000171599,Grant Payable by Exchequer,"1,436,968.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,MANCHESTER CITY CNCL (HSG),,,,5000171600,Grant Payable by Exchequer,"1,962,961.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,TOWER HAMLETS LB (HSG),,,,5000171626,Grant Payable by Exchequer,"1,413,156.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,BLACKPOOL BC,,,,5000171641,Grant Payable by Exchequer,"146,077.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,BOLTON MBC,,,,5000171643,Grant Payable by Exchequer,"17,660.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,CAMDEN LB,,,,5000171650,Grant Payable by Exchequer,"1,411,987.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,EALING LB,,,,5000171663,Grant Payable by Exchequer,"638,297.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,EASTBOURNE BC,,,,5000171664,Grant Payable by Exchequer,"86,585.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,GREENWICH LB,,,,5000171673,Grant Payable by Exchequer,"139,729.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,LONDON BOROUGH OF HACKNEY,,,,5000171674,Grant Payable by Exchequer,"4,136,194.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,HAMMERSMITH & FULHAM LB,,,,5000171675,Grant Payable by Exchequer,"1,114,310.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,HARINGEY LB,,,,5000171676,Grant Payable by Exchequer,"1,309,917.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,ISLINGTON LB,,,,5000171684,Grant Payable by Exchequer,"4,051,402.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,ROYAL BOROUGH OF KENSINGTON & CHELS,,,,5000171685,Grant Payable by Exchequer,"183,024.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,LONDON BOROUGH OF LAMBETH,,,,5000171688,Grant Payable by Exchequer,"715,506.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,NEWCASTLE UPON TYNE DC,,,,5000171693,Grant Payable by Exchequer,"1,020,032.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,LONDON BOROUGH OF NEWHAM,,,,5000171694,Grant Payable by Exchequer,"3,183,165.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,OLDHAM MBC,,,,5000171702,Grant Payable by Exchequer,"894,285.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,ROCHDALE MBC,,,,5000171708,Grant Payable by Exchequer,"729,879.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,SALFORD CITY CNCL,,,,5000171712,Grant Payable by Exchequer,"182,638.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,SHEFFIELD CITY CNCL,,,,5000171714,Grant Payable by Exchequer,"2,945,204.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,SOUTHWARK LB,,,,5000171720,Grant Payable by Exchequer,"2,563,503.00",Yes
Communities & Local Government,DCLG,15/08/2011,Subsidies to Central Govt and Local Auth bodies,Neighbourhoods,WALTHAM FOREST LB,,,,5000171728,Grant Payable by Exchequer,"182,535.00",Yes
Communities & Local Government,DCLG,15/08/2011,Printing,Finance & Corporate Services,TAURUS PRINT & DESIGN LTD,,Small,,5106167327,Ministerial stationery,456,
Communities & Local Government,DCLG,15/08/2011,Publishing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106167309,DCLG annual report print and publishing,"1,564.89",
Communities & Local Government,DCLG,15/08/2011,Rates,Localism,FAREHAM BC,,Large,,5106167337,SE RCC Rates 11/12,"4,330.00",
Communities & Local Government,DCLG,15/08/2011,Rates,Localism,WAKEFIELD MDC,,,,5106167333,H1194 Y&H Rates 11-12 non domestic,"4,330.00",
Communities & Local Government,DCLG,15/08/2011,Rates,Localism,WOLVERHAMPTON CITY COUNCIL,,Large,,5106167338,WM Rates 2011/2012,"4,330.00",
Communities & Local Government,DCLG,15/08/2011,Rates,Localism,TAUNTON DEANE BOROUGH COUNCIL,,,,5106167332,H1196 SW RCC Rates 11-12,"5,413.00",
Communities & Local Government,DCLG,15/08/2011,Research,Neighbourhoods,OFFICE OF GOVERNMENT COMMERCE,,,,2100206795,OGC Review (ERDF),"-7,128.00",
Communities & Local Government,DCLG,15/08/2011,Research,Neighbourhoods,OFFICE OF GOVERNMENT COMMERCE,,,,5106163208,OGC Review (ERDF),"7,128.00",
Communities & Local Government,DCLG,15/08/2011,Software Licences,Finance & Corporate Services,PHOENIX SOFTWARE,,Large,,5106167343,Prophix Software licences,"22,464.00",
Communities & Local Government,DCLG,15/08/2011,Vehicle hire,Neighbourhoods,ARVAL,,Large,,2100206746,Monthly Consolidated Travel,644.76,
Communities & Local Government,DCLG,15/08/2011,Vehicle hire,Finance & Corporate Services,ARVAL,,Large,,2100206746,Monthly Consolidated Travel,136.8,
Communities & Local Government,DCLG,15/08/2011,Telephone call costs,Finance & Corporate Services,DAMOVO UK LTD,,Large,,5106167336,Telephony Charges,"1,380.00",
Communities & Local Government,DCLG,15/08/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,DAMOVO UK LTD,,Large,,5106167320,Moving 16 floor boxes Princes Dock (RDA),"5,873.93",
Communities & Local Government,DCLG,15/08/2011,IT - Service Contracts,Finance & Corporate Services,D E F R A,,Large,,2100206794,DEFRA GI DataService 2010-2011,"-28,080.00",
Communities & Local Government,DCLG,15/08/2011,IT - Service Contracts,Finance & Corporate Services,D E F R A,,Large,,5106166892,DEFRA GI DataService 2010-2011,"28,080.00",
Communities & Local Government,DCLG,15/08/2011,IT - Software Maintenance,Finance & Corporate Services,AUDITWARE SYSTEMS LTD,,Small,,5106167308,IDEA V8 Maintenance renewal : 2 licences,804,
Communities & Local Government,DCLG,15/08/2011,IT - Software Maintenance,Finance & Corporate Services,PHOENIX SOFTWARE,,Large,,5106167343,Prophix Software Maintenance 1st year,"4,992.00",
Communities & Local Government,DCLG,15/08/2011,IT Consultancy,Finance & Corporate Services,PHOENIX SOFTWARE,,Large,,5106167343,Prophix Professional Consultancy Service,"23,587.20",
Communities & Local Government,DCLG,15/08/2011,Finance Consultancy,Finance & Corporate Services,FIREBUY LTD-IN LIQUIDATION,,Small,,5106167323,Contractor Enprotex,"7,200.00",
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,ARUN DC,,,,5000171749,Grant Payable by Exchequer,"8,289.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,ASHFORD BC,,,,5000171750,Grant Payable by Exchequer,"28,583.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,AYLESBURY VALE DC(HSG),,,,5000171751,Grant Payable by Exchequer,"20,496.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BABERGH DC,,,,5000171752,Grant Payable by Exchequer,"13,046.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BARKING & DAGENHAM LB (HSG),,,,5000171753,Grant Payable by Exchequer,"61,382.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BASSETLAW DC (HSG),,,,5000171754,Grant Payable by Exchequer,"36,817.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BATH & NE SOMERSET DC (HSG),,,,5000171755,Grant Payable by Exchequer,"55,760.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BEXLEY LB (HSG),,,,5000171756,Grant Payable by Exchequer,"55,054.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BLABY DC (HSG),,,,5000171757,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BOSTON BC,,,,5000171758,Grant Payable by Exchequer,"16,905.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BRAINTREE DC,,,,5000171759,Grant Payable by Exchequer,"5,956.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BRECKLAND DC,,,,5000171760,Grant Payable by Exchequer,"29,134.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BRENT LB (HSG),,,,5000171761,Grant Payable by Exchequer,"151,933.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BRISTOL CITY CNCL (HSG),,,,5000171762,Grant Payable by Exchequer,"182,035.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BROADLAND DC,,Large,,5000171763,Grant Payable by Exchequer,"9,455.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,BROMSGROVE DC,,,,5000171764,Grant Payable by Exchequer,"9,455.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CANTERBURY CITY CNCL,,,,5000171765,Grant Payable by Exchequer,"28,704.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CARLISLE CITY CNCL,,,,5000171766,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CHERWELL DC,,,,5000171767,Grant Payable by Exchequer,"10,039.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CHICHESTER DC,,,,5000171768,Grant Payable by Exchequer,"9,455.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CHILTERN DC (HSG),,,,5000171769,Grant Payable by Exchequer,"5,956.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CHRISTCHURCH BC (HSG),,,,5000171770,Grant Payable by Exchequer,"5,956.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CITY OF LONDON (HSG),,,,5000171771,Grant Payable by Exchequer,"50,156.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CITY OF SUNDERLAND (HSG),,,,5000171772,Grant Payable by Exchequer,"90,267.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,COPELAND BC,,,,5000171773,Grant Payable by Exchequer,"55,139.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CORBY BC,,,,5000171774,Grant Payable by Exchequer,"6,195.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,COTSWOLD DC,,,,5000171775,Grant Payable by Exchequer,"4,205.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CRAVEN DC (HSG),,,,5000171776,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,CRAWLEY BC,,,,5000171777,Grant Payable by Exchequer,"11,906.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,DARTFORD BC,,,,5000171778,Grant Payable by Exchequer,"8,872.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,DAVENTRY DC,,,,5000171779,Grant Payable by Exchequer,"4,555.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,DERBYSHIRE DALES DC,,,,5000171780,Grant Payable by Exchequer,"11,788.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,DOVER DC,,,,5000171781,Grant Payable by Exchequer,"13,889.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST CAMBRIDGESHIRE DC,,,,5000171782,Grant Payable by Exchequer,"5,606.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST DEVON DC,,,,5000171783,Grant Payable by Exchequer,"8,289.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST HAMPSHIRE DC,,,,5000171784,Grant Payable by Exchequer,"8,989.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST HERTFORDSHIRE DC,,,,5000171785,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST LINDSEY DC,,,,5000171786,Grant Payable by Exchequer,"8,289.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST NORTHAMPTONSHIRE COUNCIL,,,,5000171787,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST RIDING OF YORKS (HSG),,,,5000171788,Grant Payable by Exchequer,"90,360.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EAST STAFFORDSHIRE BC,,,,5000171789,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,EDEN DC (HSG),,,,5000171790,Grant Payable by Exchequer,"10,622.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,ELMBRIDGE BC (HSG),,,,5000171791,Grant Payable by Exchequer,"7,706.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,FAREHAM BC,,,,5000171792,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,FENLAND DC,,,,5000171793,Grant Payable by Exchequer,"40,612.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,FOREST HEATH DISTRICT COUNCIL,,,,5000171794,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,FOREST OF DEAN DC,,,,5000171795,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,GUILDFORD BC,,,,5000171796,Grant Payable by Exchequer,"31,038.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HALTON BC (HSG),,,,5000171797,Grant Payable by Exchequer,"51,745.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HAMBLETON DC (HSG),,,,5000171798,Grant Payable by Exchequer,"5,956.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HARBOROUGH DC (HSG),,,,5000171799,Grant Payable by Exchequer,"7,706.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HARROGATE BC,,,,5000171800,Grant Payable by Exchequer,"8,333.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HEREFORDSHIRE COUNCIL,,,,5000171801,Grant Payable by Exchequer,"79,036.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HIGH PEAK BC,,,,5000171802,Grant Payable by Exchequer,"12,372.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HINCKLEY & BOSWORTH BC,,,,5000171803,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HORSHAM DC,,,,5000171804,Grant Payable by Exchequer,"8,872.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,HUNTINGDONSHIRE DC,,,,5000171805,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/08/2011,Local Services Support Grant,Localism,KINGS LYNN & WEST NORFOLK BC,,,,5000171806,Grant Payable by Exchequer,"10,622.00",Yes
