Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,Leith's at the Centre,Entertaining,Administration,8629,19.75
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,Leith's at the Centre,Entertaining,Commercial,8629,18.65
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,Leith's at the Centre,Entertaining,Event Management,8629,165.75
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,Leith's at the Centre,Entertaining,Interface,8629,54.45
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2009,GA1 LTD,Cost of Sales - Commission,Commercial,8630,1491
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2009,VOHM,Marketing,Commercial,8631,600
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2009,Visit London Ltd,Marketing,Commercial,8632,1391.5
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2009,LOGICA IT SERVICES UK LTD,Payroll Costs,Administration,8635,585.96
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2009,PORTAPROMPT LTD,Cost of Sales - Equipment Hire,Interface,8638,448
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,ELCRP,Disposal Of Waste,Operations,8639,563.55
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,Visit London Ltd,Marketing,Commercial,8640,575
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,MGM WORKSAFE,Consultants,Operations,8641,650
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,MGM WORKSAFE,Consultants,Operations,8642,650
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,Shed 22 Events,Cost of Sales - Commission,Commercial,8646,721.5
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,EDF ENERGY,Electricity,Operations,8648,51416.09
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,8650,6323.81
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,8650,8731.98
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,Visit London Ltd,Exhibitions,Commercial,8652,272
Communities And Local Government,Queen Elizabeth II Conference Centre,05/06/2009,Visit London Ltd,Travel,Commercial,8652,689.5
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8657,1016
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2009,GovNet Communications,Cost of Sales - Commission,Commercial,8658,1023.7
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2009,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,8661,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2009,CORONA ENERGY,Gas,Operations,8662,8655.68
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2009,KRYSTELINE GROUP LTD,Operational Equipment,Operations,8673,6464.96
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2009,PAKEX UK PLC,Maintenance,Operations,8674,510
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2009,GovNet Communications,Cost of Sales - Commission,Commercial,8675,1216.7
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2009,GALLOWGLASS LIMITED,Cost of Sales - Time & Labour,Event Management,8676,675
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2009,Bedouk Editions,Advertising,Commercial,8677,2928.76
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,8679,1244.5
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2009,WORKING WALL LIMITED,Maintenance,Interface,8680,1114.4
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2009,I.D.S. London Ltd,Cost of Sales - Commission,Commercial,8688,1335.6
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,8690,7370
Communities And Local Government,Queen Elizabeth II Conference Centre,12/06/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,8695,6545
Communities And Local Government,Queen Elizabeth II Conference Centre,12/06/2009,NATIONAL CRADLE MAINTENANCE LTD,Maintenance,Operations,8696,492
Communities And Local Government,Queen Elizabeth II Conference Centre,15/06/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,8701,496
Communities And Local Government,Queen Elizabeth II Conference Centre,15/06/2009,Marmalade On Toast,Marketing,Commercial,8703,500
Communities And Local Government,Queen Elizabeth II Conference Centre,15/06/2009,Ideal Venues Ltd,Marketing,Commercial,8704,1200
Communities And Local Government,Queen Elizabeth II Conference Centre,15/06/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,8705,913.95
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Interface,8708,162.8
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Interface,8708,730
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,8708,27.17
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Bank Charges,Administration,8708,26.86
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,8708,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,8708,2748.03
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Marketing,Commercial,8708,138
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Staff Welfare,Administration,8708,15.51
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Conferences,Administration,8708,490
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,8708,70.03
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Training,Administration,8708,299
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Mobile Phone Costs,Event Management,8708,100
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Interface,8708,36.58
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,8708,374.97
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,8709,6636
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,8709,9337
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,A PERTON SIGNS LIMITED,Cost of Sales - Freelance Technicians,Interface,8709,390
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,8713,1835
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,8714,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,VERIZON UK LIMITED,Marketing,Commercial,8714,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,16/06/2009,AP SET CONSTRUCTION LTD,Maintenance,Interface,8716,800
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8725,2739.51
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8726,1005.56
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8728,1942.65
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,NATIONAL CRADLE MAINTENANCE LTD,Maintenance,Operations,8732,2150
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,8733,735.18
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,INSIGHT DIRECT UK LTD,Consumables,ITC Department,8736,826.98
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,8739,600
Communities And Local Government,Queen Elizabeth II Conference Centre,18/06/2009,Business Shows,Cost of Sales - Equipment Hire,Interface,8741,900
Communities And Local Government,Queen Elizabeth II Conference Centre,19/06/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8742,1151
Communities And Local Government,Queen Elizabeth II Conference Centre,19/06/2009,GREATER LONDON HIRE LTD,Travel,Interface,8748,222.95
Communities And Local Government,Queen Elizabeth II Conference Centre,19/06/2009,GREATER LONDON HIRE LTD,Travel,ITC Department,8748,24.68
Communities And Local Government,Queen Elizabeth II Conference Centre,19/06/2009,GREATER LONDON HIRE LTD,Travel,Operations,8748,230.5
Communities And Local Government,Queen Elizabeth II Conference Centre,19/06/2009,GREATER LONDON HIRE LTD,Travel,Event Management,8748,685.62
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2009,Office Projects Ltd,Maintenance,Operations,8749,1568
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2009,THE STATIONERY OFFICE LTD,Marketing,Commercial,8750,500
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,8751,2280
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2009,STANLEY PRODUCTIONS LTD,Cost of Sales - Consumables,Interface,8753,479
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2009,CHATLAND DESIGN,Marketing,Commercial,8756,4700
Communities And Local Government,Queen Elizabeth II Conference Centre,23/06/2009,AP SET CONSTRUCTION LTD,Cost of Sales - Sets,Interface,8757,4200
Communities And Local Government,Queen Elizabeth II Conference Centre,23/06/2009,GROSVENOR CONTRACTS (LONDON) L,Maintenance,Operations,8758,2591.04
Communities And Local Government,Queen Elizabeth II Conference Centre,23/06/2009,THE FRIARY ELECTRICAL COMPANY,Building Improvements,Operations,8759,6260.95
Communities And Local Government,Queen Elizabeth II Conference Centre,23/06/2009,COMPUTACENTER UK LTD,Maintenance,Operations,8760,1384.61
Communities And Local Government,Queen Elizabeth II Conference Centre,24/06/2009,WESTMINSTER SONUS LIMITED,Cost of Sales - Equipment Hire,Interface,8773,2149
Communities And Local Government,Queen Elizabeth II Conference Centre,24/06/2009,NICK POWERS LTD,Cost of Sales - Freelance Technicians,Interface,8774,464
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,8781,909
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,8782,656
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2009,CADline Ltd,Training,Administration,8785,450
Communities And Local Government,Queen Elizabeth II Conference Centre,26/06/2009,THAMES WATER UTILITIES LTD,Water,Operations,8790,3264.02
Communities And Local Government,Queen Elizabeth II Conference Centre,26/06/2009,Leith's at the Centre,Marketing,Commercial,8795,437.15
Communities And Local Government,Queen Elizabeth II Conference Centre,26/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8796,4163.35
Communities And Local Government,Queen Elizabeth II Conference Centre,26/06/2009,THOMPSON ELECTRICAL SERVICES,Consultants,Operations,8797,4000
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2009,FELTECH ELECTRONICS LTD,Building Improvements,Operations,8801,15365
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2009,MERCURY AV LIMITED,Maintenance,Interface,8803,482.15
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2009,HELEN BUSHELL,Cost of Sales - Freelance Technicians,Interface,8806,600
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2009,PHILIP DE JONG T/A Mr Durden Ltd,Cost of Sales - Freelance Technicians,Interface,8807,511
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2009,NYS Corporate Limited,Cost of Sales - Commission,Commercial,8813,1328.5
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2009,NYS Corporate Limited,Cost of Sales - Commission,Commercial,8814,1276.5
Communities And Local Government,Queen Elizabeth II Conference Centre,30/06/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,8818,2206
Communities And Local Government,Queen Elizabeth II Conference Centre,30/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8820,3522.83
Communities And Local Government,Queen Elizabeth II Conference Centre,30/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8821,40586.82
Communities And Local Government,Queen Elizabeth II Conference Centre,01/07/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,8828,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,01/07/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,8829,42319.24
Communities And Local Government,Queen Elizabeth II Conference Centre,01/07/2009,NYS Corporate Limited,Cost of Sales - Commission,Commercial,8830,600.5
Communities And Local Government,Queen Elizabeth II Conference Centre,01/07/2009,Finlayson Media Communications Ltd,Cost of Sales - Commission,Commercial,8831,3132
Communities And Local Government,Queen Elizabeth II Conference Centre,01/07/2009,CITY OF WESTMINSTER,Business Rates,Administration,8832,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,01/07/2009,QED PRODUCTIONS LTD,Cost of Sales - Equipment Hire,Interface,8836,920
